"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C9,C14";"EKXL421ELL121MM30S";2;"EKXL421ELL121MM30S";;;
2;"F1";"FUS_LITTELFUSE_392_LTF";1;"39213150000";;;
3;"U1";"ACQ100";1;"~";;;
4;"C12,C11,C13";"CAP_DE2E3KY472MB3BM02F_MUR";3;"DE2E3SA332MA3BX02F";;;
5;"C10";"R-8K1_MUR";1;"RDER72J104K8K1C11B";;;
6;"J2";"CON_430451602_MOL";1;"430451602";;;
7;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.2K";;;
8;"C3,C1,C2";"CAP_5.0 X 10.5 X 18.0_EPC";3;"B32922C3104K";;;
9;"RT1";"THRMRB500W60L1150T500H1600";1;"B57236S0509M054";;;
10;"C7,C4,C5,C8,C6";"CAP_DE2E3KY472MB3BM02F_MUR";5;"DE2E3SA472MA3BX02F";;;
11;"C15";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"GRJ31CR72A105KE11L";;;
12;"RV1";"RV_Disc_D9mm_W4.4mm_P5mm";1;"MOV-10D621K";;;
13;"L2";"IND_2100LL_34_H";1;"2100LL-560-H-RC";;;
14;"L1";"744823220";1;"744823220";;;
15;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"SM1206URC";;;
16;"J1";"430450402_MOL";1;"430450402";;;
17;"R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"DNP";;;
